pruning,ordering-heuristic,scenario,method,runtime,epoch
True,min-degree,s4,MAP,0.1607668399810791,30
True,min-degree,s4,MargDist,0.10789012908935547,30
True,min-degree,s5,MAP,0.15640473365783691,30
True,min-degree,s5,MargDist,0.13625741004943848,30
True,min-degree,s6,MAP,0.4834318161010742,30
True,min-degree,s6,MargDist,0.09138274192810059,30
True,min-degree,s7,MAP,0.11627316474914551,30
True,min-degree,s7,MargDist,0.10031771659851074,30
True,min-degree,s8,MAP,0.22359514236450195,30
True,min-degree,s8,MargDist,0.09779548645019531,30
True,min-degree,s1,MAP,0.010455846786499023,31
True,min-degree,s1,MargDist,0.0076808929443359375,31
True,min-degree,s2,MAP,0.1317148208618164,31
True,min-degree,s2,MargDist,0.05447745323181152,31
True,min-degree,s3,MAP,0.19867825508117676,31
True,min-degree,s3,MargDist,0.08397483825683594,31
True,min-degree,s4,MAP,0.1182396411895752,31
True,min-degree,s4,MargDist,0.11361980438232422,31
True,min-degree,s5,MAP,1.491762399673462,31
True,min-degree,s5,MargDist,0.07364225387573242,31
True,min-degree,s6,MAP,2.6816065311431885,31
True,min-degree,s6,MargDist,0.06702303886413574,31
True,min-degree,s7,MAP,0.193115234375,31
True,min-degree,s7,MargDist,0.08986234664916992,31
True,min-degree,s8,MAP,0.16597652435302734,31
True,min-degree,s8,MargDist,0.10382294654846191,31
True,min-degree,s1,MAP,0.04875349998474121,32
True,min-degree,s1,MargDist,0.025574922561645508,32
True,min-degree,s2,MAP,0.011977910995483398,32
True,min-degree,s2,MargDist,0.010776519775390625,32
True,min-degree,s3,MAP,0.04072213172912598,32
True,min-degree,s3,MargDist,0.0356748104095459,32
True,min-degree,s4,MAP,0.0737910270690918,32
True,min-degree,s4,MargDist,0.07434368133544922,32
True,min-degree,s5,MAP,0.7146797180175781,32
True,min-degree,s5,MargDist,0.0828697681427002,32
True,min-degree,s6,MAP,2.5597448348999023,32
True,min-degree,s6,MargDist,0.06831574440002441,32
True,min-degree,s7,MAP,0.18098688125610352,32
True,min-degree,s7,MargDist,0.10425710678100586,32
True,min-degree,s8,MAP,0.17612123489379883,32
True,min-degree,s8,MargDist,0.07779479026794434,32
True,min-degree,s1,MAP,0.010092020034790039,33
True,min-degree,s1,MargDist,0.006348133087158203,33
True,min-degree,s2,MAP,0.13186001777648926,33
True,min-degree,s2,MargDist,0.14384245872497559,33
True,min-degree,s3,MAP,0.15215134620666504,33
True,min-degree,s3,MargDist,0.10113692283630371,33
True,min-degree,s4,MAP,0.12641215324401855,33
True,min-degree,s4,MargDist,0.10052680969238281,33
True,min-degree,s5,MAP,0.22802042961120605,33
True,min-degree,s5,MargDist,0.07638669013977051,33
True,min-degree,s6,MAP,0.24416708946228027,33
True,min-degree,s6,MargDist,0.10003137588500977,33
True,min-degree,s7,MAP,0.6745436191558838,33
True,min-degree,s7,MargDist,0.08811736106872559,33
True,min-degree,s8,MAP,0.11425328254699707,33
True,min-degree,s8,MargDist,0.07585740089416504,33
True,min-degree,s1,MAP,0.009322404861450195,34
True,min-degree,s1,MargDist,0.0064334869384765625,34
True,min-degree,s2,MAP,0.04042220115661621,34
True,min-degree,s2,MargDist,0.02910137176513672,34
True,min-degree,s3,MAP,0.12361574172973633,34
True,min-degree,s3,MargDist,0.10568761825561523,34
True,min-degree,s4,MAP,0.15041851997375488,34
True,min-degree,s4,MargDist,0.10774660110473633,34
True,min-degree,s5,MAP,0.20527219772338867,34
True,min-degree,s5,MargDist,0.03615117073059082,34
True,min-degree,s6,MAP,0.07731938362121582,34
True,min-degree,s6,MargDist,0.05314469337463379,34
True,min-degree,s7,MAP,0.18997788429260254,34
True,min-degree,s7,MargDist,0.10659289360046387,34
True,min-degree,s8,MAP,0.17779326438903809,34
True,min-degree,s8,MargDist,0.06763458251953125,34
True,min-degree,s1,MAP,0.10197305679321289,35
